study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA299657	SAMN04211194	SRS1130399	SRX1371654	SRR2775857	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-88
PRJNA299657	SAMN04211195	SRS1130397	SRX1371656	SRR2775858	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-89
PRJNA299657	SAMN04211196	SRS1130396	SRX1371657	SRR2775860	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-90
PRJNA299657	SAMN04211197	SRS1130395	SRX1371659	SRR2775861	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-91
PRJNA299657	SAMN04211198	SRS1130394	SRX1371660	SRR2775863	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-92
PRJNA299657	SAMN04211199	SRS1130392	SRX1371662	SRR2775864	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-93
PRJNA299657	SAMN04211200	SRS1130391	SRX1371663	SRR2775866	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-94
PRJNA299657	SAMN04211201	SRS1130390	SRX1371664	SRR2775867	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-95
PRJNA299657	SAMN04211202	SRS1130388	SRX1371665	SRR2775869	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-LSC-96
PRJNA299657	SAMN05462958	SRS1591810	SRX1987851	SRR3985831	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-1
PRJNA299657	SAMN05462957	SRS1591809	SRX1987852	SRR3985832	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-2
PRJNA299657	SAMN05462956	SRS1591811	SRX1987853	SRR3985833	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-3
PRJNA299657	SAMN05462955	SRS1591812	SRX1987854	SRR3985834	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-4
PRJNA299657	SAMN05462954	SRS1591813	SRX1987855	SRR3985835	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-5
PRJNA299657	SAMN05462953	SRS1591814	SRX1987856	SRR3985836	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-6
PRJNA299657	SAMN05462952	SRS1591815	SRX1987857	SRR3985837	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-7
PRJNA299657	SAMN05462951	SRS1591816	SRX1987858	SRR3985838	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-8
PRJNA299657	SAMN05462950	SRS1591817	SRX1987859	SRR3985839	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-9
PRJNA299657	SAMN05462949	SRS1591818	SRX1987860	SRR3985840	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-10
PRJNA299657	SAMN05462948	SRS1591819	SRX1987861	SRR3985841	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-11
PRJNA299657	SAMN05462947	SRS1591820	SRX1987862	SRR3985842	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-12
PRJNA299657	SAMN05462946	SRS1591821	SRX1987863	SRR3985843	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-13
PRJNA299657	SAMN05462945	SRS1591822	SRX1987864	SRR3985844	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-14
PRJNA299657	SAMN05462944	SRS1591823	SRX1987865	SRR3985845	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-15
PRJNA299657	SAMN05462943	SRS1591824	SRX1987866	SRR3985846	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-16
PRJNA299657	SAMN05462942	SRS1591825	SRX1987867	SRR3985847	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-17
PRJNA299657	SAMN05462941	SRS1591826	SRX1987868	SRR3985848	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-18
PRJNA299657	SAMN05462940	SRS1591827	SRX1987869	SRR3985849	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-19
PRJNA299657	SAMN05462939	SRS1591828	SRX1987870	SRR3985850	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-20
PRJNA299657	SAMN05462938	SRS1591829	SRX1987871	SRR3985851	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-21
PRJNA299657	SAMN05462937	SRS1591830	SRX1987872	SRR3985852	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-22
PRJNA299657	SAMN05462936	SRS1591831	SRX1987873	SRR3985853	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-23
PRJNA299657	SAMN05462935	SRS1591832	SRX1987874	SRR3985854	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-24
PRJNA299657	SAMN05462934	SRS1591833	SRX1987875	SRR3985855	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-25
PRJNA299657	SAMN05462933	SRS1591834	SRX1987876	SRR3985856	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-26
PRJNA299657	SAMN05462842	SRS1591835	SRX1987877	SRR3985857	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-27
PRJNA299657	SAMN05462841	SRS1591837	SRX1987878	SRR3985858	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-28
PRJNA299657	SAMN05462840	SRS1591836	SRX1987879	SRR3985859	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-29
PRJNA299657	SAMN05462839	SRS1591838	SRX1987880	SRR3985860	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-30
PRJNA299657	SAMN05462838	SRS1591839	SRX1987881	SRR3985861	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-31
PRJNA299657	SAMN05462837	SRS1591840	SRX1987882	SRR3985862	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-32
PRJNA299657	SAMN05462836	SRS1591841	SRX1987883	SRR3985863	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-33
PRJNA299657	SAMN05462835	SRS1591842	SRX1987884	SRR3985864	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-34
PRJNA299657	SAMN05463111	SRS1591843	SRX1987885	SRR3985865	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-35
PRJNA299657	SAMN05463110	SRS1591844	SRX1987886	SRR3985866	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-36
PRJNA299657	SAMN05463109	SRS1591845	SRX1987887	SRR3985867	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-37
PRJNA299657	SAMN05463108	SRS1591846	SRX1987888	SRR3985868	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-38
PRJNA299657	SAMN05463107	SRS1591847	SRX1987889	SRR3985869	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-39
PRJNA299657	SAMN05463106	SRS1591848	SRX1987890	SRR3985870	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-40
PRJNA299657	SAMN05463105	SRS1591849	SRX1987891	SRR3985871	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-41
PRJNA299657	SAMN05463104	SRS1591850	SRX1987892	SRR3985872	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-42
PRJNA299657	SAMN05463103	SRS1591851	SRX1987893	SRR3985873	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-43
PRJNA299657	SAMN05463102	SRS1591852	SRX1987894	SRR3985874	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-44
PRJNA299657	SAMN05463101	SRS1591853	SRX1987895	SRR3985875	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-45
PRJNA299657	SAMN05463100	SRS1591854	SRX1987896	SRR3985876	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-46
PRJNA299657	SAMN05463099	SRS1591855	SRX1987897	SRR3985877	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-47
PRJNA299657	SAMN05463098	SRS1591856	SRX1987898	SRR3985878	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-48
PRJNA299657	SAMN05463097	SRS1591857	SRX1987899	SRR3985879	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-49
PRJNA299657	SAMN05463096	SRS1591858	SRX1987900	SRR3985880	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-50
PRJNA299657	SAMN05463095	SRS1591859	SRX1987901	SRR3985881	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-51
PRJNA299657	SAMN05463094	SRS1591860	SRX1987902	SRR3985882	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-52
PRJNA299657	SAMN05463093	SRS1591861	SRX1987903	SRR3985883	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-53
PRJNA299657	SAMN05463092	SRS1591862	SRX1987904	SRR3985884	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-54
PRJNA299657	SAMN05462717	SRS1591863	SRX1987905	SRR3985885	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-55
PRJNA299657	SAMN05462834	SRS1591864	SRX1987906	SRR3985886	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-56
PRJNA299657	SAMN05463091	SRS1591865	SRX1987907	SRR3985887	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-57
PRJNA299657	SAMN05463090	SRS1591866	SRX1987908	SRR3985888	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-58
PRJNA299657	SAMN05462720	SRS1591868	SRX1987909	SRR3985890	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-59
PRJNA299657	SAMN05462719	SRS1591867	SRX1987910	SRR3985891	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-60
PRJNA299657	SAMN05462718	SRS1591869	SRX1987911	SRR3985892	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-61
PRJNA299657	SAMN05462833	SRS1591871	SRX1987912	SRR3985893	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-62
PRJNA299657	SAMN05462832	SRS1591870	SRX1987913	SRR3985894	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-63
PRJNA299657	SAMN05462831	SRS1591872	SRX1987914	SRR3985895	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-64
PRJNA299657	SAMN05462830	SRS1591873	SRX1987915	SRR3985896	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-65
PRJNA299657	SAMN05462829	SRS1591874	SRX1987916	SRR3985897	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-66
PRJNA299657	SAMN05462828	SRS1591875	SRX1987917	SRR3985898	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-67
PRJNA299657	SAMN05462827	SRS1591877	SRX1987918	SRR3985899	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-68
PRJNA299657	SAMN05462825	SRS1591876	SRX1987919	SRR3985900	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-69
PRJNA299657	SAMN05462823	SRS1591878	SRX1987920	SRR3985901	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-70
PRJNA299657	SAMN05462821	SRS1591881	SRX1987921	SRR3985902	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-71
PRJNA299657	SAMN05462818	SRS1591879	SRX1987922	SRR3985903	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-72
PRJNA299657	SAMN05462816	SRS1591880	SRX1987923	SRR3985904	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-73
PRJNA299657	SAMN05462810	SRS1591882	SRX1987924	SRR3985905	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-74
PRJNA299657	SAMN05462809	SRS1591884	SRX1987925	SRR3985906	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-75
PRJNA299657	SAMN05462808	SRS1591883	SRX1987926	SRR3985907	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-76
PRJNA299657	SAMN05462807	SRS1591885	SRX1987927	SRR3985908	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-77
PRJNA299657	SAMN05462806	SRS1591887	SRX1987928	SRR3985909	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-78
PRJNA299657	SAMN05462805	SRS1591886	SRX1987929	SRR3985910	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-79
PRJNA299657	SAMN05462804	SRS1591888	SRX1987930	SRR3985911	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-80
PRJNA299657	SAMN05462803	SRS1591890	SRX1987931	SRR3985912	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-81
PRJNA299657	SAMN05462802	SRS1591889	SRX1987932	SRR3985913	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-82
PRJNA299657	SAMN05462801	SRS1591891	SRX1987933	SRR3985914	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-83
PRJNA299657	SAMN05462800	SRS1591892	SRX1987934	SRR3985915	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-84
PRJNA299657	SAMN05462799	SRS1591893	SRX1987935	SRR3985916	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-85
PRJNA299657	SAMN05462798	SRS1591895	SRX1987936	SRR3985917	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-86
PRJNA299657	SAMN05462932	SRS1591894	SRX1987937	SRR3985918	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-87
PRJNA299657	SAMN05462931	SRS1591896	SRX1987938	SRR3985919	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-88
PRJNA299657	SAMN05462930	SRS1591898	SRX1987939	SRR3985920	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-89
PRJNA299657	SAMN05462929	SRS1591897	SRX1987940	SRR3985921	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-90
PRJNA299657	SAMN05462928	SRS1591899	SRX1987941	SRR3985922	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-91
PRJNA299657	SAMN05462927	SRS1591900	SRX1987942	SRR3985923	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-92
PRJNA299657	SAMN05462926	SRS1591901	SRX1987943	SRR3985924	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-93
PRJNA299657	SAMN05462925	SRS1591902	SRX1987944	SRR3985925	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-94
PRJNA299657	SAMN05462924	SRS1591903	SRX1987945	SRR3985926	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-95
PRJNA299657	SAMN05462923	SRS1591904	SRX1987946	SRR3985927	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-Blast-160205-96
PRJNA299657	SAMN05462922	SRS1591905	SRX1987947	SRR3985928	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-1
PRJNA299657	SAMN05462921	SRS1591906	SRX1987948	SRR3985929	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-2
PRJNA299657	SAMN05462920	SRS1591907	SRX1987949	SRR3985930	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-3
PRJNA299657	SAMN05462919	SRS1591908	SRX1987950	SRR3985931	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-4
PRJNA299657	SAMN05462918	SRS1591909	SRX1987951	SRR3985932	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-5
PRJNA299657	SAMN05462917	SRS1591910	SRX1987952	SRR3985933	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-6
PRJNA299657	SAMN05462916	SRS1591911	SRX1987953	SRR3985934	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-7
PRJNA299657	SAMN05462915	SRS1591912	SRX1987954	SRR3985935	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-8
PRJNA299657	SAMN05462914	SRS1591913	SRX1987955	SRR3985936	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-9
PRJNA299657	SAMN05462913	SRS1591914	SRX1987956	SRR3985937	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-10
PRJNA299657	SAMN05462912	SRS1591915	SRX1987957	SRR3985938	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-11
PRJNA299657	SAMN05462911	SRS1591916	SRX1987958	SRR3985939	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-12
PRJNA299657	SAMN05462910	SRS1591917	SRX1987959	SRR3985940	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-13
PRJNA299657	SAMN05462909	SRS1591918	SRX1987960	SRR3985941	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-14
PRJNA299657	SAMN05462908	SRS1591919	SRX1987961	SRR3985942	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-15
PRJNA299657	SAMN05462907	SRS1591920	SRX1987962	SRR3985943	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-16
PRJNA299657	SAMN05462906	SRS1591921	SRX1987963	SRR3985944	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-17
PRJNA299657	SAMN05462905	SRS1591922	SRX1987964	SRR3985945	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-18
PRJNA299657	SAMN05462904	SRS1591923	SRX1987965	SRR3985946	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-19
PRJNA299657	SAMN05462903	SRS1591924	SRX1987966	SRR3985947	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-20
PRJNA299657	SAMN05463089	SRS1591925	SRX1987967	SRR3985948	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-21
PRJNA299657	SAMN05463088	SRS1591926	SRX1987968	SRR3985949	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-22
PRJNA299657	SAMN05463087	SRS1591927	SRX1987969	SRR3985950	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-23
PRJNA299657	SAMN05463086	SRS1591928	SRX1987970	SRR3985951	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-24
PRJNA299657	SAMN05463085	SRS1591929	SRX1987971	SRR3985952	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-25
PRJNA299657	SAMN05463084	SRS1591930	SRX1987972	SRR3985953	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-26
PRJNA299657	SAMN05463083	SRS1591931	SRX1987973	SRR3985954	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-27
PRJNA299657	SAMN05463082	SRS1591932	SRX1987974	SRR3985955	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-28
PRJNA299657	SAMN05463081	SRS1591933	SRX1987975	SRR3985956	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-29
PRJNA299657	SAMN05463080	SRS1591934	SRX1987976	SRR3985957	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-30
PRJNA299657	SAMN05463079	SRS1591935	SRX1987977	SRR3985958	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-31
PRJNA299657	SAMN05463078	SRS1591936	SRX1987978	SRR3985959	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-32
PRJNA299657	SAMN05463077	SRS1591937	SRX1987979	SRR3985960	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-33
PRJNA299657	SAMN05463076	SRS1591938	SRX1987980	SRR3985961	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-34
PRJNA299657	SAMN05463075	SRS1591939	SRX1987981	SRR3985962	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-35
PRJNA299657	SAMN05463074	SRS1591940	SRX1987982	SRR3985963	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-36
PRJNA299657	SAMN05463073	SRS1591941	SRX1987983	SRR3985964	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-37
PRJNA299657	SAMN05463072	SRS1591942	SRX1987984	SRR3985965	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-38
PRJNA299657	SAMN05463071	SRS1591943	SRX1987985	SRR3985966	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-39
PRJNA299657	SAMN05463070	SRS1591944	SRX1987986	SRR3985967	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-40
PRJNA299657	SAMN05463069	SRS1591945	SRX1987987	SRR3985968	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-41
PRJNA299657	SAMN05463068	SRS1591946	SRX1987988	SRR3985969	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-42
PRJNA299657	SAMN05463067	SRS1591947	SRX1987989	SRR3985970	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-43
PRJNA299657	SAMN05463066	SRS1591948	SRX1987990	SRR3985971	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-44
PRJNA299657	SAMN05463065	SRS1591949	SRX1987991	SRR3985972	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-45
PRJNA299657	SAMN05463064	SRS1591950	SRX1987992	SRR3985973	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-46
PRJNA299657	SAMN05463063	SRS1591951	SRX1987993	SRR3985974	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-47
PRJNA299657	SAMN05463062	SRS1591952	SRX1987994	SRR3985975	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-48
PRJNA299657	SAMN05463061	SRS1591953	SRX1987995	SRR3985976	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-49
PRJNA299657	SAMN05463060	SRS1591955	SRX1987996	SRR3985977	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-50
PRJNA299657	SAMN05462902	SRS1591954	SRX1987997	SRR3985978	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-51
PRJNA299657	SAMN05462901	SRS1591957	SRX1987998	SRR3985979	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-52
PRJNA299657	SAMN05462900	SRS1591956	SRX1987999	SRR3985980	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-53
PRJNA299657	SAMN05462899	SRS1591958	SRX1988000	SRR3985981	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-54
PRJNA299657	SAMN05462898	SRS1591959	SRX1988001	SRR3985982	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-55
PRJNA299657	SAMN05462897	SRS1591960	SRX1988002	SRR3985983	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-56
PRJNA299657	SAMN05462896	SRS1591961	SRX1988003	SRR3985984	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-57
PRJNA299657	SAMN05462895	SRS1591962	SRX1988004	SRR3985985	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-58
PRJNA299657	SAMN05462894	SRS1591963	SRX1988005	SRR3985986	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-59
PRJNA299657	SAMN05462893	SRS1591964	SRX1988006	SRR3985987	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-60
PRJNA299657	SAMN05462892	SRS1591965	SRX1988007	SRR3985988	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-61
PRJNA299657	SAMN05462891	SRS1591966	SRX1988008	SRR3985989	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-62
PRJNA299657	SAMN05462890	SRS1591967	SRX1988009	SRR3985990	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-63
PRJNA299657	SAMN05462889	SRS1591968	SRX1988010	SRR3985991	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-64
PRJNA299657	SAMN05462888	SRS1591969	SRX1988011	SRR3985992	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-65
PRJNA299657	SAMN05462887	SRS1591970	SRX1988012	SRR3985993	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-66
PRJNA299657	SAMN05462886	SRS1591971	SRX1988013	SRR3985994	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-67
PRJNA299657	SAMN05462885	SRS1591972	SRX1988014	SRR3985995	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-68
PRJNA299657	SAMN05462884	SRS1591973	SRX1988015	SRR3985996	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-69
PRJNA299657	SAMN05462883	SRS1591974	SRX1988016	SRR3985997	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-70
PRJNA299657	SAMN05462882	SRS1591975	SRX1988017	SRR3985998	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-71
PRJNA299657	SAMN05462881	SRS1591976	SRX1988018	SRR3985999	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-72
PRJNA299657	SAMN05462880	SRS1591977	SRX1988019	SRR3986000	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-73
PRJNA299657	SAMN05462879	SRS1591978	SRX1988020	SRR3986001	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU353-LSC-160209-74
