peak	class_	weight	Chr	Start	End	Annotation	Distance to TSS	Gene Name	in_cell_type
spleen_uPk_6227	2	0.02699886108040928	chr1	153085075	153085718	intron (NM_175460, intron 4 of 10)	101051.0	Lamc2	Memory_CD8_T
spleen_uPk_75907	2	0.026866494115314554	chr3	30863664	30864557	intron (NM_001286994, intron 1 of 3)	8160.0	Gpr160	Memory_CD8_T
spleen_uPk_28942	2	0.026863557359417083	chr12	100479916	100481087	intron (NM_001033213, intron 3 of 19)	40321.0	Ttc7b	Memory_CD8_T
spleen_uPk_107309	2	0.02662455946531774	chr7	67419555	67420669	Intergenic	-47254.0	Mef2a	Memory_CD8_T
spleen_uPk_126535	2	0.026610224233918303	chrX	101733862	101734400	promoter-TSS (NM_009910)	16.0	Cxcr3	Memory_CD8_T
spleen_uPk_45810	2	0.026576487204950365	chr15	86027892	86028296	intron (NM_009886, intron 1 of 34)	5683.0	Celsr1	Memory_CD8_T
spleen_uPk_29494	2	0.02651016668839507	chr12	107720794	107721570	Intergenic	14306.0	4930465M20Rik	Memory_CD8_T
spleen_uPk_44931	2	0.026486493631685978	chr15	78494761	78495579	promoter-TSS (NM_008368)	-104.0	Il2rb	Memory_CD8_T
spleen_uPk_111504	2	0.02643323835541169	chr7	135659353	135660014	intron (NM_001316681, intron 4 of 17)	-7369.0	5830432E09Rik	Memory_CD8_T
spleen_uPk_106265	2	0.02641239725267606	chr7	38227140	38228322	intron (NM_024413, intron 1 of 1)	263.0	Plekhf1	Memory_CD8_T
spleen_uPk_49687	2	0.02641187305687638	chr16	44337531	44337895	Intergenic	-4875.0	Sidt1	Memory_CD8_T
spleen_uPk_92373	2	0.026371995747673082	chr5	77091604	77092259	intron (NM_001159900, intron 2 of 2)	3336.0	Hopx	Memory_CD8_T
spleen_uPk_48982	2	0.02629762525611807	chr16	32520152	32521056	Intergenic	24323.0	Zdhhc19	Memory_CD8_T
spleen_uPk_41110	2	0.026159205462944514	chr14	115250459	115251208	intron (NM_175500, intron 2 of 7)	158618.0	Gpc5	Memory_CD8_T
spleen_uPk_27343	2	0.02609123225321139	chr12	73720374	73721174	intron (NM_001313977, intron 10 of 14)	135978.0	Prkch	Memory_CD8_T
spleen_uPk_9241	2	0.02607913158091362	chr10	3510432	3511034	Intergenic	-29546.0	Iyd	Memory_CD8_T
spleen_uPk_85027	2	0.026076319983006687	chr4	89687963	89688866	exon (NM_175647, exon 1 of 2)	216.0	Dmrta1	Memory_CD8_T
spleen_uPk_124851	2	0.026069207168011713	chr9	124121317	124121831	promoter-TSS (NM_009917)	31.0	Ccr5	Memory_CD8_T
spleen_uPk_119772	2	0.02601151812047028	chr9	44517410	44518028	intron (NM_007551, intron 1 of 1)	8702.0	Cxcr5	Memory_CD8_T
spleen_uPk_28293	2	0.025987463653853075	chr12	85660710	85661414	Intergenic	-25658.0	Batf	Memory_CD8_T
spleen_uPk_41151	2	0.025905052741710063	chr14	118124122	118124684	intron (NM_029578, intron 4 of 11)	8362.0	Tgds	Memory_CD8_T
spleen_uPk_110333	2	0.025879458478436222	chr7	118276680	118277115	Intergenic	32990.0	4930583K01Rik	Memory_CD8_T
spleen_uPk_110886	2	0.02587650852895124	chr7	126711920	126712180	Intergenic	-7234.0	Coro1a	Memory_CD8_T
spleen_uPk_111898	2	0.025851404513184295	chr7	142371481	142372561	intron (NM_001347541, intron 1 of 2)	238.0	Ifitm10	Memory_CD8_T
spleen_uPk_51374	2	0.0257469337035825	chr16	93908196	93908564	Intergenic	21187.0	Cldn14	Memory_CD8_T
spleen_uPk_7141	2	0.02551519917074736	chr1	164965905	164966659	Intergenic	-30772.0	Xcl1	Memory_CD8_T
spleen_uPk_51349	2	0.02543025607733029	chr16	93777087	93778032	intron (NM_027293, intron 23 of 36)	-54562.0	Morc3	Memory_CD8_T
spleen_uPk_93976	2	0.02537126133808767	chr5	113090415	113091496	3' UTR (NM_172884, exon 8 of 8)	-9371.0	Crybb3	Memory_CD8_T
spleen_uPk_112295	2	0.025356887099130223	chr8	8984023	8985784	Intergenic	147385.0	4933430N04Rik	Memory_CD8_T
spleen_uPk_115194	2	0.025316572071539957	chr8	83758098	83758698	Intergenic	-17087.0	Adgre5	Memory_CD8_T
spleen_uPk_54729	2	0.0252891685618828	chr17	45488338	45489304	Intergenic	-13883.0	Spats1	Memory_CD8_T
spleen_uPk_84512	2	0.025261080052640758	chr4	63859684	63860591	intron (NM_009403, intron 1 of 3)	1147.0	Tnfsf8	Memory_CD8_T
spleen_uPk_77667	2	0.025218270979080547	chr3	84045950	84046894	Intergenic	-6261.0	D930015E06Rik	Memory_CD8_T
spleen_uPk_104989	2	0.025217489154230697	chr7	16366261	16366603	intron (NM_001285892, intron 5 of 8)	21464.0	Sae1	Memory_CD8_T
spleen_uPk_110745	2	0.025075182549237757	chr7	125636422	125636763	Intergenic	33163.0	Il21r	Memory_CD8_T
spleen_uPk_111900	2	0.025020056225548065	chr7	142378986	142379614	intron (NM_009983, intron 5 of 8)	-5554.0	Ifitm10	Memory_CD8_T
spleen_uPk_78730	2	0.0249506261167529	chr3	96882019	96882643	intron (NM_026229, intron 8 of 13)	22967.0	Gpr89	Memory_CD8_T
spleen_uPk_4854	2	0.02480660836044639	chr1	128786834	128787678	Intergenic	-194957.0	Cxcr4	Memory_CD8_T
spleen_uPk_20718	2	0.02479500778507043	chr11	76479095	76480128	intron (NM_001346670, intron 2 of 21)	-11146.0	Abr	Memory_CD8_T
spleen_uPk_13735	2	0.02479453022591961	chr10	82982227	82982699	Intergenic	-3034.0	Chst11	Memory_CD8_T
spleen_uPk_102880	2	0.024767424786554363	chr6	125067336	125068046	promoter-TSS (NM_001163269)	-229.0	Lpar5	Memory_CD8_T
spleen_uPk_107580	2	0.024715849006325185	chr7	74587280	74587902	Intergenic	-32811.0	Slco3a1	Memory_CD8_T
spleen_uPk_72705	2	0.024709278604316355	chr2	148442382	148443831	exon (NM_010740, exon 1 of 2)	429.0	Cd93	Memory_CD8_T
spleen_uPk_62342	2	0.024669982535708873	chr19	12026575	12027050	Intergenic	9928.0	Olfr1423	Memory_CD8_T
spleen_uPk_75795	2	0.024639357811004795	chr3	27322389	27323291	intron (NM_009425, intron 1 of 4)	5763.0	Tnfsf10	Memory_CD8_T
spleen_uPk_116684	2	0.024497921977551095	chr8	114888398	114889228	intron (NM_019573, intron 8 of 8)	449161.0	Wwox	Memory_CD8_T
spleen_uPk_120690	2	0.024478787054563904	chr9	57968369	57969185	Intergenic	28642.0	Sema7a	Memory_CD8_T
spleen_uPk_121026	2	0.024411337845706094	chr9	62260715	62261833	Intergenic	-17174.0	A730043L09Rik	Memory_CD8_T
spleen_uPk_74168	2	0.024402023666325316	chr2	166625164	166625996	intron (NM_177782, intron 5 of 39)	-47138.0	Mir6364	Memory_CD8_T
spleen_uPk_56091	2	0.024318444445080127	chr17	71287862	71288752	intron (NM_145158, intron 2 of 7)	22658.0	Emilin2	Memory_CD8_T
spleen_uPk_75806	2	0.024200260534687972	chr3	27462446	27463368	intron (NM_173182, intron 16 of 25)	91556.0	Ghsr	Memory_CD8_T
spleen_uPk_30422	2	0.024187804333375355	chr12	118255364	118256071	intron (NM_009239, intron 4 of 5)	45723.0	Sp4	Memory_CD8_T
spleen_uPk_83904	2	0.024126675756275712	chr4	55564233	55564721	Intergenic	-32002.0	Klf4	Memory_CD8_T
spleen_uPk_19028	2	0.024055563278678367	chr11	53839133	53840084	intron (NR_033332, intron 2 of 3)	19648.0	Gm12216	Memory_CD8_T
spleen_uPk_103997	2	0.02405381457592883	chr6	142560980	142561944	Intergenic	10152.0	Kcnj8	Memory_CD8_T
spleen_uPk_23918	2	0.023992782547648164	chr11	115477455	115478366	intron (NM_177778, intron 2 of 2)	2233.0	Armc7	Memory_CD8_T
spleen_uPk_122101	2	0.02395327480679445	chr9	78010137	78010570	Intergenic	-41605.0	Gcm1	Memory_CD8_T
spleen_uPk_16007	2	0.023917300844717153	chr10	122728184	122728592	intron (NM_176919, intron 1 of 8)	49073.0	Mir8104	Memory_CD8_T
spleen_uPk_56970	2	0.023878514370878408	chr17	84332775	84333328	intron (NM_183021, intron 28 of 37)	133157.0	Thada	Memory_CD8_T
spleen_uPk_24676	2	0.02382815411020092	chr11	121019450	121019919	Intergenic	19794.0	Cd7	Memory_CD8_T
spleen_uPk_19902	2	0.02382810944705537	chr11	67522669	67523041	Intergenic	-10143.0	Gas7	Memory_CD8_T
spleen_uPk_67093	2	0.02379985639509611	chr2	31810252	31811529	promoter-TSS (NM_183424)	-310.0	Qrfp	Memory_CD8_T
spleen_uPk_42406	2	0.02372504842475036	chr15	27800165	27800635	intron (NM_001081302, intron 34 of 56)	-118858.0	Fam105a	Memory_CD8_T
spleen_uPk_78729	2	0.023703122589133034	chr3	96847343	96848292	intron (NM_001146001, intron 1 of 8)	15143.0	Pdzk1	Memory_CD8_T
spleen_uPk_58908	2	0.023640536649813287	chr18	39281801	39282616	intron (NM_175164, intron 17 of 22)	205037.0	Nr3c1	Memory_CD8_T
spleen_uPk_5693	2	0.02363124130976576	chr1	138587790	138588243	intron (NM_001311148, intron 1 of 7)	31741.0	Nek7	Memory_CD8_T
spleen_uPk_37392	2	0.023604505668285772	chr14	25161636	25162406	Intergenic	-18780.0	4930572O13Rik	Memory_CD8_T
spleen_uPk_96636	2	0.023553169836769645	chr5	147159102	147160029	Intergenic	-29131.0	Gsx1	Memory_CD8_T
spleen_uPk_82134	2	0.023509932222248543	chr4	8834580	8834967	intron (NM_001277149, intron 15 of 37)	144367.0	Chd7	Memory_CD8_T
spleen_uPk_95914	2	0.02344049510438355	chr5	137856846	137857290	intron (NM_133209, intron 2 of 4)	981.0	Pilrb1	Memory_CD8_T
spleen_uPk_358	2	0.023426121190585503	chr1	16227763	16228958	TTS (NM_025303)	122478.0	Rdh10	Memory_CD8_T
spleen_uPk_29268	2	0.023425517076202478	chr12	103531960	103532716	promoter-TSS (NM_028980)	-227.0	Ppp4r4	Memory_CD8_T
spleen_uPk_65532	2	0.0234014285303008	chr2	9867172	9867902	intron (NM_008091, intron 4 of 5)	11063.0	Gata3	Memory_CD8_T
spleen_uPk_67295	2	0.023376253014648286	chr2	33032906	33033281	intron (NM_178888, intron 10 of 28)	-51037.0	Slc2a8	Memory_CD8_T
spleen_uPk_107486	2	0.02331869829921068	chr7	72313891	72315199	Intergenic	-7950.0	Mctp2	Memory_CD8_T
spleen_uPk_110428	2	0.023268533041923268	chr7	120699045	120700089	intron (NM_001164580, intron 1 of 2)	21947.0	BC030336	Memory_CD8_T
spleen_uPk_12898	2	0.02321797594127996	chr10	75301418	75301757	intron (NM_153406, intron 13 of 15)	-15290.0	Adora2a	Memory_CD8_T
spleen_uPk_106153	2	0.02321417936891987	chr7	35247263	35247984	Intergenic	-32278.0	Lrp3	Memory_CD8_T
spleen_uPk_6117	2	0.023192067193485134	chr1	152008412	152009444	intron (NM_197990, intron 1 of 5)	81392.0	1700025G04Rik	Memory_CD8_T
spleen_uPk_41487	2	0.02306385204669543	chr14	121954514	121955124	exon (NM_183031, exon 2 of 2)	10374.0	Gpr183	Memory_CD8_T
spleen_uPk_80199	2	0.0230489192726385	chr3	123446759	123448042	exon (NM_008939, exon 1 of 11)	487.0	Prss12	Memory_CD8_T
spleen_uPk_91087	2	0.02296389046223781	chr5	43824292	43825091	intron (NM_009763, intron 4 of 8)	5798.0	Bst1	Memory_CD8_T
spleen_uPk_123046	2	0.022941991966049645	chr9	100332360	100332801	Intergenic	153893.0	Il20rb	Memory_CD8_T
spleen_uPk_102290	2	0.022940599979524516	chr6	117431019	117432072	Intergenic	263010.0	Cxcl12	Memory_CD8_T
spleen_uPk_57113	2	0.022925556236245814	chr17	86322889	86323870	intron (NM_011104, intron 1 of 14)	-36201.0	2010106C02Rik	Memory_CD8_T
spleen_uPk_116141	2	0.022886469250679407	chr8	105794099	105794612	intron (NM_145824, intron 3 of 13)	32995.0	Ranbp10	Memory_CD8_T
spleen_uPk_28192	2	0.02287361567780589	chr12	85122837	85123967	intron (NM_030225, intron 9 of 14)	12569.0	Dlst	Memory_CD8_T
spleen_uPk_92385	2	0.022815016367714363	chr5	77144549	77145344	Intergenic	-29823.0	Hopx	Memory_CD8_T
spleen_uPk_123720	2	0.022792387099324303	chr9	110641012	110641410	intron (NM_183276, intron 10 of 53)	-5096.0	Mir8107	Memory_CD8_T
spleen_uPk_67246	2	0.022761773464948808	chr2	32722080	32722597	intron (NR_045535, intron 1 of 12)	1283.0	Sh2d3c	Memory_CD8_T
spleen_uPk_37149	2	0.022744059902775463	chr14	19993312	19994456	Intergenic	-16635.0	Gng2	Memory_CD8_T
spleen_uPk_32855	2	0.022672141355001375	chr13	45156283	45157348	Intergenic	-154719.0	Dtnbp1	Memory_CD8_T
spleen_uPk_58128	2	0.022609529272237944	chr18	23828397	23828952	intron (NM_153058, intron 1 of 6)	24704.0	Mapre2	Memory_CD8_T
spleen_uPk_122917	2	0.022557596065517393	chr9	96785229	96785646	Intergenic	19875.0	C430002N11Rik	Memory_CD8_T
spleen_uPk_82363	2	0.022506581074740527	chr4	11721036	11721996	Intergenic	17069.0	Gem	Memory_CD8_T
spleen_uPk_11036	2	0.022488918637808743	chr10	39514544	39515263	intron (NM_001122892, intron 3 of 12)	-98031.0	Traf3ip2	Memory_CD8_T
spleen_uPk_98952	2	0.02245209511542131	chr6	50416671	50417552	intron (NM_001347213, intron 2 of 23)	-34274.0	Osbpl3	Memory_CD8_T
spleen_uPk_38347	2	0.02242813814483797	chr14	48246036	48246654	intron (NM_033602, intron 3 of 5)	47629.0	Gm6498	Memory_CD8_T
spleen_uPk_21374	2	0.022400137472686422	chr11	83662133	83662735	promoter-TSS (NM_013652)	-150.0	Ccl4	Memory_CD8_T
spleen_uPk_125936	2	0.022362881426409534	chrX	59133992	59135444	promoter-TSS (NM_010200)	-282.0	Fgf13	Memory_CD8_T
spleen_uPk_67294	2	0.02230331302690385	chr2	33032408	33032783	intron (NM_178888, intron 10 of 28)	-50539.0	Slc2a8	Memory_CD8_T
spleen_uPk_51585	2	0.02226936647415362	chr16	95869315	95870029	intron (NR_040484, intron 1 of 3)	29041.0	1600002D24Rik	Memory_CD8_T
spleen_uPk_124791	2	0.02225775460204253	chr9	123871991	123872780	Intergenic	-10356.0	Xcr1	Memory_CD8_T
spleen_uPk_59493	2	0.022190290822888845	chr18	56447865	56448217	intron (NM_026240, intron 1 of 13)	15909.0	Gramd3	Memory_CD8_T
spleen_uPk_50730	2	0.022159905533061824	chr16	78198481	78199137	Intergenic	56645.0	E330011O21Rik	Memory_CD8_T
spleen_uPk_116174	2	0.022150212211350693	chr8	106017085	106017574	intron (NM_001301176, intron 2 of 14)	-5843.0	Ddx28	Memory_CD8_T
spleen_uPk_44933	2	0.022088308266705887	chr15	78510191	78511102	Intergenic	-15580.0	Il2rb	Memory_CD8_T
spleen_uPk_29433	2	0.022065957090841772	chr12	106008429	106009151	Intergenic	-1473.0	Vrk1	Memory_CD8_T
spleen_uPk_22238	2	0.02201314116845629	chr11	97114498	97115561	exon (NM_019507, exon 1 of 6)	302.0	Tbx21	Memory_CD8_T
spleen_uPk_58895	2	0.021967273616223942	chr18	39140585	39140941	intron (NM_175164, intron 10 of 22)	147618.0	Arhgap26	Memory_CD8_T
spleen_uPk_118083	2	0.021930479587474565	chr8	128645472	128646092	Intergenic	-39872.0	Itgb1	Memory_CD8_T
spleen_uPk_5692	2	0.02191065100159492	chr1	138584634	138585019	intron (NM_001311148, intron 1 of 7)	34931.0	Nek7	Memory_CD8_T
spleen_uPk_121767	2	0.0219068340350288	chr9	72100411	72100652	intron (NM_001253862, intron 3 of 19)	10670.0	Tcf12	Memory_CD8_T
spleen_uPk_41737	2	0.02186315114928123	chr15	5517136	5518123	intron (NR_045274, intron 1 of 4)	21311.0	5430437J10Rik	Memory_CD8_T
spleen_uPk_24854	2	0.021851332539759658	chr12	4065330	4065971	Intergenic	-16924.0	Dnajc27	Memory_CD8_T
spleen_uPk_53364	2	0.02181248446380762	chr17	28625405	28625808	Intergenic	-3152.0	Srpk1	Memory_CD8_T
spleen_uPk_11472	2	0.02179741749091407	chr10	43979989	43980542	intron (NM_172393, intron 6 of 19)	24581.0	Aim1	Memory_CD8_T
spleen_uPk_25619	2	0.021763604978103073	chr12	25430725	25431385	Intergenic	301881.0	Gm17746	Memory_CD8_T
spleen_uPk_126536	2	0.021740235193770756	chrX	101737170	101737748	Intergenic	-3312.0	Cxcr3	Memory_CD8_T
spleen_uPk_55765	2	0.021729894040769974	chr17	64617622	64618179	intron (NM_008549, intron 1 of 21)	16251.0	Man2a1	Memory_CD8_T
spleen_uPk_101190	2	0.02160977564717226	chr6	95614425	95615370	intron (NM_001326558, intron 2 of 10)	77985.0	Suclg2	Memory_CD8_T
spleen_uPk_89281	2	0.021609730747967685	chr4	155352399	155353041	intron (NM_008860, intron 4 of 17)	-6931.0	Prkcz	Memory_CD8_T
spleen_uPk_95109	2	0.02154379361618214	chr5	124248966	124250351	5' UTR (NM_011256, exon 1 of 25)	102.0	Pitpnm2	Memory_CD8_T
spleen_uPk_121708	2	0.02152780271942088	chr9	71164928	71165569	Intergenic	-1959.0	Aqp9	Memory_CD8_T
spleen_uPk_117207	2	0.021446191101870564	chr8	120724782	120726449	Intergenic	-10743.0	Irf8	Memory_CD8_T
spleen_uPk_58112	2	0.021434552121119617	chr18	23734588	23735376	Intergenic	17323.0	Gm15972	Memory_CD8_T
spleen_uPk_66394	2	0.02141797725523915	chr2	25426421	25427249	TTS (NM_001177367)	-1839.0	Abca2	Memory_CD8_T
spleen_uPk_61129	2	0.02139615013817831	chr18	82528569	82528795	intron (NM_001025245, intron 3 of 3)	-25781.0	Mbp	Memory_CD8_T
spleen_uPk_70555	2	0.021384707099679004	chr2	103754558	103755079	intron (NM_153126, intron 3 of 28)	6432.0	Nat10	Memory_CD8_T
spleen_uPk_77681	2	0.0213815780333687	chr3	84092796	84093333	intron (NM_029797, intron 7 of 7)	-52903.0	D930015E06Rik	Memory_CD8_T
spleen_uPk_30945	2	0.021312652072159793	chr13	13558849	13559404	Intergenic	-31283.0	Lyst	Memory_CD8_T
spleen_uPk_92389	2	0.021246939359976413	chr5	77166045	77166722	Intergenic	44822.0	Spink2	Memory_CD8_T
spleen_uPk_40463	2	0.021165114410317605	chr14	78458308	78459663	Intergenic	63717.0	Akap11	Memory_CD8_T
spleen_uPk_3157	2	0.021098469344876757	chr1	82819125	82819974	Intergenic	-19911.0	Agfg1	Memory_CD8_T
spleen_uPk_26968	2	0.02108034430260086	chr12	69411941	69412391	Intergenic	40016.0	Arf6	Memory_CD8_T
spleen_uPk_68761	2	0.021035936084083252	chr2	65189205	65189827	intron (NM_027225, intron 1 of 12)	49110.0	Cobll1	Memory_CD8_T
spleen_uPk_28946	2	0.021016341612140825	chr12	100508591	100509031	intron (NM_001033213, intron 1 of 19)	12011.0	Ttc7b	Memory_CD8_T
spleen_uPk_38799	2	0.02099315792836404	chr14	55097920	55098407	TTS (NM_007455)	3379.0	Thtpa	Memory_CD8_T
spleen_uPk_65954	2	0.020902794877231467	chr2	17597603	17598266	intron (NM_028757, intron 2 of 6)	34420.0	Mir6419	Memory_CD8_T
spleen_uPk_32846	2	0.020861773457070677	chr13	45030810	45032139	Intergenic	-29378.0	Dtnbp1	Memory_CD8_T
spleen_uPk_54637	2	0.020812098480797674	chr17	44456094	44456609	Intergenic	267779.0	Clic5	Memory_CD8_T
spleen_uPk_93802	2	0.020795485550202965	chr5	110979040	110980461	intron (NM_001267622, intron 2 of 22)	-24394.0	Mir701	Memory_CD8_T
spleen_uPk_94624	2	0.02078534113728651	chr5	120688378	120688981	intron (NM_008052, intron 3 of 9)	22990.0	Dtx1	Memory_CD8_T
spleen_uPk_99327	2	0.020778934695443	chr6	54807377	54807721	Intergenic	-9367.0	Znrf2	Memory_CD8_T
spleen_uPk_62141	2	0.020749813483715223	chr19	10747283	10748241	intron (NR_027805, intron 1 of 3)	6815.0	A430093F15Rik	Memory_CD8_T
spleen_uPk_85028	2	0.020749096036784945	chr4	89689064	89689683	intron (NM_175647, intron 1 of 1)	1175.0	Dmrta1	Memory_CD8_T
spleen_uPk_87785	2	0.020731906883380547	chr4	135617885	135618626	Intergenic	-8400.0	1700029M20Rik	Memory_CD8_T
spleen_uPk_24152	2	0.02072198556828783	chr11	117245922	117246628	intron (NM_001113486, intron 2 of 11)	-19971.0	Sept9	Memory_CD8_T
spleen_uPk_27326	2	0.020721810325204686	chr12	73656470	73657285	intron (NM_001313977, intron 3 of 14)	72081.0	Prkch	Memory_CD8_T
spleen_uPk_123387	2	0.0206996526168505	chr9	106430696	106431136	intron (NM_009082, intron 3 of 3)	1505.0	Rpl29	Memory_CD8_T
spleen_uPk_68204	2	0.020683393809885618	chr2	52571545	52572052	intron (NM_001285426, intron 2 of 13)	-13187.0	Cacnb4	Memory_CD8_T
spleen_uPk_58897	2	0.02067715216545477	chr18	39141581	39142061	intron (NM_175164, intron 10 of 22)	148676.0	Arhgap26	Memory_CD8_T
spleen_uPk_59883	2	0.02059805723123769	chr18	62719628	62720490	intron (NM_001168423, intron 1 of 4)	21328.0	Spink13	Memory_CD8_T
spleen_uPk_88176	2	0.02054039155182757	chr4	139578968	139579356	intron (NM_001205173, intron 1 of 8)	4442.0	Iffo2	Memory_CD8_T
spleen_uPk_92803	2	0.02050462358224924	chr5	96176085	96177385	Intergenic	-14745.0	Cnot6l	Memory_CD8_T
spleen_uPk_122940	2	0.02049105636082487	chr9	96957264	96957832	intron (NM_145134, intron 2 of 2)	60807.0	Spsb4	Memory_CD8_T
spleen_uPk_87694	2	0.02043567436835358	chr4	135103858	135104169	Intergenic	-16632.0	Runx3	Memory_CD8_T
spleen_uPk_60881	2	0.02042697560610722	chr18	79233829	79234952	Intergenic	-124999.0	Setbp1	Memory_CD8_T
spleen_uPk_108900	2	0.020386850240338057	chr7	98809351	98810059	Intergenic	-25407.0	Wnt11	Memory_CD8_T
spleen_uPk_109448	2	0.020381619594252852	chr7	104302128	104302418	intron (NM_023835, intron 4 of 7)	-12758.0	Gm15133	Memory_CD8_T
spleen_uPk_109927	2	0.020351489860656997	chr7	112209749	112210404	Intergenic	-15760.0	Mical2	Memory_CD8_T
spleen_uPk_27059	2	0.020330486890397466	chr12	70104778	70105265	intron (NM_001286079, intron 1 of 28)	-2167.0	Nin	Memory_CD8_T
spleen_uPk_42763	2	0.020275738900681888	chr15	36214550	36215259	intron (NM_012031, intron 12 of 18)	25260.0	Mir8097	Memory_CD8_T
spleen_uPk_113459	2	0.020254838326438603	chr8	36041306	36042023	Intergenic	-53164.0	Prag1	Memory_CD8_T
spleen_uPk_122226	2	0.02023487754263559	chr9	80317876	80318557	intron (NM_022016, intron 15 of 16)	147222.0	Impg1	Memory_CD8_T
spleen_uPk_12906	2	0.020200240144462294	chr10	75320224	75320698	intron (NM_001331095, intron 1 of 2)	2861.0	Adora2a	Memory_CD8_T
spleen_uPk_104981	2	0.020181756163854935	chr7	16333037	16333241	intron (NM_001285892, intron 7 of 8)	23556.0	Bbc3	Memory_CD8_T
spleen_uPk_87516	2	0.0201719556814536	chr4	134047633	134048073	Intergenic	-20599.0	Aim1l	Memory_CD8_T
spleen_uPk_11018	2	0.02012158722668689	chr10	39470072	39470632	intron (NM_001122893, intron 3 of 13)	100553.0	Fyn	Memory_CD8_T
spleen_uPk_10470	2	0.020108372345055747	chr10	22299345	22299737	intron (NM_009018, intron 5 of 5)	-7179.0	C920009B18Rik	Memory_CD8_T
spleen_uPk_50398	2	0.020083428882717837	chr16	58708626	58709427	Intergenic	9698.0	Gpr15	Memory_CD8_T
spleen_uPk_31103	2	0.020059798825759253	chr13	19181920	19182906	Intergenic	213400.0	Stard3nl	Memory_CD8_T
spleen_uPk_32434	2	0.02005974453296031	chr13	40923914	40924389	intron (NM_133219, intron 1 of 2)	6517.0	Gcnt2	Memory_CD8_T
spleen_uPk_23429	2	0.020054032772097895	chr11	108268295	108269151	intron (NM_011101, intron 2 of 16)	75165.0	Prkca	Memory_CD8_T
spleen_uPk_21730	2	0.020000012779473858	chr11	87965291	87965752	Intergenic	21064.0	Dynll2	Memory_CD8_T
spleen_uPk_14968	2	0.019965902749881255	chr10	99392911	99394065	Intergenic	130257.0	Dusp6	Memory_CD8_T
spleen_uPk_14728	2	0.019933125067901295	chr10	96400427	96401258	Intergenic	174635.0	4930459C07Rik	Memory_CD8_T
spleen_uPk_77965	2	0.019910952790808324	chr3	87523698	87524146	Intergenic	-1656.0	Etv3	Memory_CD8_T
spleen_uPk_63755	2	0.01990612302865084	chr19	40477471	40478195	intron (NM_178362, intron 1 of 28)	-26435.0	Sorbs1	Memory_CD8_T
spleen_uPk_99361	2	0.01988527027439967	chr6	54955741	54956971	intron (NM_172729, intron 1 of 11)	15305.0	Nod1	Memory_CD8_T
spleen_uPk_15199	2	0.019842855826356323	chr10	111214110	111214488	intron (NM_001003717, intron 2 of 22)	49497.0	Osbpl8	Memory_CD8_T
spleen_uPk_126771	2	0.01984208868375667	chrX	107421258	107421788	Intergenic	-18163.0	Itm2a	Memory_CD8_T
spleen_uPk_89637	2	0.019834729279077236	chr5	9014794	9015821	Intergenic	-18161.0	Crot	Memory_CD8_T
spleen_uPk_43956	2	0.019830672444570804	chr15	62730462	62730936	Intergenic	-511248.0	H2afy3	Memory_CD8_T
spleen_uPk_92063	2	0.019812606950854426	chr5	72731423	72731842	intron (NM_001289494, intron 4 of 13)	4970.0	Txk	Memory_CD8_T
spleen_uPk_50401	2	0.01976119060787453	chr16	58718611	58719068	promoter-TSS (NM_001162955)	-115.0	Gpr15	Memory_CD8_T
spleen_uPk_91450	2	0.0197495160360346	chr5	62710666	62711606	intron (NM_178407, intron 7 of 32)	55041.0	Arap2	Memory_CD8_T
spleen_uPk_64450	2	0.019748730999675182	chr19	47441019	47441955	intron (NM_001164717, intron 1 of 13)	22924.0	Sh3pxd2a	Memory_CD8_T
spleen_uPk_121463	2	0.01974606637240932	chr9	66916436	66916909	intron (NM_173413, intron 1 of 7)	3033.0	Rab8b	Memory_CD8_T
spleen_uPk_46736	2	0.019743032382842557	chr15	100420335	100420762	intron (NM_008732, intron 1 of 16)	2507.0	Slc11a2	Memory_CD8_T
spleen_uPk_33920	2	0.01972405059996188	chr13	60895429	60896114	3' UTR (NM_001145801, exon 4 of 4)	1676.0	Ctla2b	Memory_CD8_T
spleen_uPk_38788	2	0.019667179435394342	chr14	55025395	55025873	Intergenic	10180.0	Ngdn	Memory_CD8_T
spleen_uPk_74194	2	0.01965663840350531	chr2	166701402	166702423	intron (NR_105783, intron 2 of 2)	11920.0	Prex1	Memory_CD8_T
spleen_uPk_98257	2	0.01962277260610714	chr6	38120614	38121122	intron (NM_080467, intron 1 of 20)	3718.0	Atp6v0a4	Memory_CD8_T
spleen_uPk_51698	2	0.01960897812055664	chr16	97462595	97463500	promoter-TSS (NM_010846)	-141.0	Mx1	Memory_CD8_T
spleen_uPk_65049	2	0.019581656450032202	chr19	60212609	60213054	intron (NM_029648, intron 5 of 7)	13866.0	Fam204a	Memory_CD8_T
spleen_uPk_91583	2	0.01957639076483396	chr5	64389744	64390210	Intergenic	77965.0	1700027F09Rik	Memory_CD8_T
spleen_uPk_48538	2	0.019560739318749024	chr16	24704217	24704726	intron (NM_001145952, intron 6 of 11)	-17384.0	Lpp	Memory_CD8_T
spleen_uPk_102598	2	0.019552411075075132	chr6	121228332	121228812	Intergenic	-17334.0	Usp18	Memory_CD8_T
spleen_uPk_116550	2	0.019536422348675923	chr8	111527163	111527741	Intergenic	-5345.0	Wdr59	Memory_CD8_T
